|6.6.6
harz_wet_1.tab                                                                                      
           2
T(K)    
   273.00000000000000     
   17.012820512820515     
          79
P(bar)  
   1.0000000000000000     
   1282.0384615384614     
          79
           9
T(K)           P(bar)         rho,kg/m3      alpha,1/K      beta,1/bar     cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  562.218        2565.08        2952.80       0.285994E-004  0.174545E-005   1126.50        5.59033        2.68551      -0.128240E+008
  579.231        2565.08        2951.30       0.288044E-004  0.175007E-005   1136.12        5.58551        2.68319      -0.128045E+008
  596.244        2565.08        2949.74       0.290003E-004  0.175478E-005   1145.24        5.58064        2.68085      -0.127847E+008
  613.256        2565.08        2948.22       0.291891E-004  0.175949E-005   1153.92        5.57575        2.67850      -0.127649E+008
  630.269        2565.08        2946.66       0.293708E-004  0.176427E-005   1162.18        5.57082        2.67614      -0.127448E+008
  647.282        2565.08        2945.10       0.295464E-004  0.176909E-005   1170.05        5.56586        2.67375      -0.127247E+008
  664.295        2565.08        2980.01       0.331595E-004  0.149577E-005   1195.61        5.93177        2.84953      -0.126934E+008
  681.308        2565.08        2979.10       0.333915E-004  0.149532E-005   1203.35        5.93250        2.84988      -0.126726E+008
  698.321        2565.08        2978.73       0.336530E-004  0.149125E-005   1210.87        5.93825        2.85264      -0.126515E+008
  715.333        2565.08        2977.60       0.338677E-004  0.149228E-005   1217.99        5.93682        2.85196      -0.126304E+008
  732.346        2565.08        2978.22       0.341852E-004  0.148133E-005   1225.17        5.95206        2.85927      -0.126087E+008
  749.359        2565.08        2976.55       0.343695E-004  0.148596E-005   1231.73        5.94551        2.85613      -0.125876E+008
  766.372        2565.08        2979.17       0.348104E-004  0.146124E-005   1238.97        5.97992        2.87266      -0.125651E+008
  783.385        2565.08        2976.05       0.349085E-004  0.147572E-005   1244.78        5.95942        2.86282      -0.125442E+008
  800.397        2565.08        2978.07       0.353188E-004  0.145490E-005   1251.59        5.98826        2.87667      -0.125216E+008
